canonical_smiles,molecule_chembl_id,relation,standard_relation,standard_value,value,IC50_nM,pIC50
N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F.O=P(O)(O)O,CHEMBL393336,=,=,6.0,6.0,6.0,8.221848749616356
N[C@@H](CC(=O)N1CCN(c2ccc([N+](=O)[O-])cc2)CC1)Cc1cc(F)c(F)cc1F,CHEMBL2069828,=,=,85.7,85.7,85.7,7.0670191780768015
N[C@@H](CC(=O)N1CCN(c2ccc([N+](=O)[O-])cc2F)CC1)Cc1cc(F)c(F)cc1F,CHEMBL2069829,=,=,194.0,194.0,194.0,6.7121982700697735
N[C@@H](CC(=O)N1CCN(c2ccc(F)cc2F)CC1)Cc1cc(F)c(F)cc1F,CHEMBL2069830,=,=,291.0,291.0,291.0,6.536107011014092
CC(O)c1ccc(N2CCN(C(=O)C[C@H](N)Cc3cc(F)c(F)cc3F)CC2)cc1,CHEMBL2069831,=,=,264.0,264.0,264.0,6.578396073130168
CC(=O)c1ccc(N2CCN(C(=O)C[C@H](N)Cc3cc(F)c(F)cc3F)CC2)cc1,CHEMBL2069832,=,=,99.7,99.7,99.7,7.001304841688344
N[C@@H](CC(=O)N1CCN(c2ccccc2-c2ccccc2)CC1)Cc1cc(F)c(F)cc1F,CHEMBL2069833,=,=,569.0,569.0,569.0,6.244887733604928
N#Cc1ccccc1N1CCN(C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)CC1,CHEMBL2069834,=,=,50.4,50.4,50.4,7.297569463554475
N#Cc1ccc(N2CCN(C(=O)C[C@H](N)Cc3cc(F)c(F)cc3F)CC2)cc1,CHEMBL2069835,=,=,101.0,101.0,101.0,6.995678626217357
COc1cc(CN2CCN(C(=O)C[C@H](N)Cc3cc(F)c(F)cc3F)CC2)cc(OC)c1,CHEMBL2069836,=,=,103.0,103.0,103.0,6.987162775294828
